time,pressure
0.09999999999999999,2983.9854535076947
0.10186289902446875,2983.7084192517273
0.10376050197669118,2983.427093871207
0.10569345535579883,2983.1414329445706
0.10766241770454933,2982.85139264048
0.10966805983368685,2982.556929781479
0.11171106505048241,2982.258001910433
0.11379212939153148,2981.9545673598213
0.11591196185988854,2981.64658532395
0.118071284666619,2981.3340159341556
0.12027083347685118,2981.0168203370536
0.12251135766041188,2980.694960775906
0.12479362054713111,2980.3684006751573
0.12711839968690286,2980.0371047281938
0.12948648711459046,2979.7010389883853
0.131898689619867,2979.360170963443
0.1343558290220826,2979.0144697131477
0.13685874245025187,2978.663905950469
0.1394082826282578,2978.308452146117
0.14200531816536824,2977.948082636537
0.14465073385216462,2977.5827737353698
0.1473454309619835,2977.212503848371
0.15009032755797358,2976.8372535917915
0.15288635880587303,2976.457005914202
0.15573447729261342,2976.071746221726
0.15863565335085902,2975.68146250665
0.16159087538959183,2975.286145479352
0.16460115023085506,2974.885788703472
0.16766750345277,2974.480388734252
0.17079097973894275,2974.0699452599315
0.17397264323438016,2973.6544612460775
0.17721357790803594,2973.233943082714
0.18051488792211093,2972.808400734078
0.18387769800823278,2972.3778478908216
0.18730315385064375,2971.942302124448
0.1907924224765266,2971.5017850437416
0.19434669265360205,2971.0563224529337
0.1979671752951333,2970.6059445113005
0.20165510387247468,2970.1506858938787
0.20541173483530648,2969.6905859529334
0.20923834803969774,2969.225688879792
0.2131362471841438,2968.7560438666105
0.21710676025372647,2968.281705267614
0.22115123997254887,2967.802732759297
0.22527106426459803,2967.319191499045
0.22946763672319362,2966.8311522815807
0.2337423870891815,2966.338691692606
0.23809677173803584,2965.841892258956
0.24253227417603532,2965.3408425945336
0.24705040554568256,2964.8356375412513
0.25165270514053917,2964.32637830415
0.2563407409296515,2963.813172579806
0.2611161100917459,2963.296134677108
0.26598043955937584,2962.7753856293953
0.27093538657320515,2962.25105329693
0.27598263924661803,2961.723272458596
0.28112391714084645,2961.1921848916736
0.28636097185081155,2960.6579394384744
0.2916955876018796,2960.1206920585782
0.2971295818577334,2959.580605865345
0.3026648059395692,2959.037851145328
0.3083031456568276,2958.4926053591653
0.31404652194967514,2957.9450531224666
0.3198968915434537,2957.3953861651758
0.32585624761532256,2956.8438032678337
0.3319266204733189,2956.2905101731303
0.33811007824806844,2955.7357194710967
0.3444087275973822,2955.179650456256
0.3508247144239791,2954.622528955018
0.35736022460657874,2954.064587121594
0.36401748474461404,2953.5060632006757
0.37079876291681707,2952.9472012551414
0.37770636945393665,2952.388250857023
0.38474265772585037,2951.829466740016
0.3919100249433404,2951.2711084117977
0.3992109129748051,2950.7134397244945
0.4066478091781856,2950.1567284016464
0.41422324724838955,2949.601245520109
0.4219398080805026,2949.047264945386
0.42980012064907963,2948.4950627189887
0.4378068629038169,2947.9449163965237
0.4459627626819093,2947.3971043353245
0.4542705986374045,2946.8519049306046
0.4627332011878691,2946.309595799259
0.4713534534786908,2945.7704529106263
0.48013429236534516,2945.2347496637376
0.48907870941395915,2944.7027559108005
0.4981897519205162,2944.174736926912
0.5074705239490467,2943.6509523262885
0.51692418738916,2943.1316549255757
0.5265539630332756,2942.6170895551513
0.5363631316739241,2942.1074918196596
0.5463550352214878,2941.603086809418
0.5565330778427647,2941.104087764711
0.5669007271207436,2940.610694695434
0.5774615152359821,2940.123092958989
0.5882190401699955,2939.641451799813
0.5991769669310619,2939.1659228544145
0.6103390288028621,2938.6966386263257
0.6217090286163827,2938.233710935894
0.6332908400455114,2937.7772293504254
0.6450884089267692,2937.3272596007346
0.6571057546036271,2936.8838419907825
0.6693469712958661,2936.44698980764
0.6818162294944479,2936.0166877396555
0.6945177773823696,2935.592890311299
0.7074559422819879,2935.175520343766
0.7206351321293053,2934.764467451032
0.7340598369757212,2934.359586581641
0.7477346305177587,2933.9606966170904
0.761664171655289,2933.5675790382334
0.7758532060787834,2933.179976671647
0.7903065678861345,2932.79759252842
0.8050291812295979,2932.420088748255
0.8200260619934129,2932.047085662201
0.8353023195026776,2931.6781609876853
0.8508631582640579,2931.3128491697835
0.8667138797389231,2930.950640882913
0.8828598841495148,2930.5909827072514
0.899306672318762,2930.233276994242
0.9160598475443706,2929.876881935503
0.9331251175078247,2929.521111849315
0.9505082962189506,2929.1652376985794
0.9682153059967081,2928.8084878537984
0.9862521794868779,2928.4500491140816
1.004625061717341,2928.08906799857
1.0233402121916417,2927.7246523198837
1.0424040070215563,2927.35587305026
1.061822941099384,2926.981766489988
1.08160363031071,2926.601336746503
1.1017528137883867,2926.2135585311166
1.1222773562085078,2925.8173802788056
1.1431842501291496,2925.4117275947688
1.164480618372686,2924.9955070295973
1.1861737164524784,2924.567610182857
1.2082709350447765,2924.1269181327134
1.2307798025066652,2923.6723061868815
1.2537079874409203,2923.202648947717
1.277063301308644,2922.716825681645
1.3008537010905712,2922.2137259804035
1.325087291997953,2921.6922556987292
1.3497723302339417,2921.1513431501835
1.374917225806419,2920.5899455398053
1.4005305453932195,2920.0070556092105
1.426621015260737,2919.4017084666493
1.4531975242368955,2918.772988571418
1.4802691267395087,2918.1200368389127
1.507845045861051,2917.4420578295453
1.535934676510897,2916.7383269817374
1.5645475886160958,2916.0081978463063
1.5936935303817743,2915.2511092767804
1.6233824316122782,2914.466592527559
1.6536244070941803,2913.6542782094143
1.684429760042315,2912.81390304964
1.7158089856100047,2911.9453164022116
1.7477727744646807,2911.0484864516925
1.7803320164301137,2910.1235060533163
1.8134978041964953,2909.1705981507243
1.847281437099634,2908.190120712305
1.8816944249705556,2907.18257112695
